Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene % GC content	MGI symbol
ENSMUSG00000092600	17	35743323	35764191	-1	46.38	Gm20442
ENSMUSG00000020383	11	53631324	53634702	-1	52.62	Il13
ENSMUSG00000103139	1	167242457	167251492	1	48.13	Gm37982
ENSMUSG00000101203	7	33903280	33904117	-1	41.53	Gm28615
ENSMUSG00000101992	Y	53638130	53638825	-1	44.97	Gm29249
ENSMUSG00000033794	5	107431549	107435039	1	44.66	Lpcat2b
ENSMUSG00000109742	7	105108305	105110199	-1	37.78	Gm45558
ENSMUSG00000066829	9	22276748	22307648	-1	42.67	Zfp810
ENSMUSG00000092171	17	35772450	35780687	1	46.94	4833427F10Rik
ENSMUSG00000113711	12	109827003	109828124	1	50.98	Gm9661
ENSMUSG00000115437	15	38275400	38276441	-1	46.45	Gm49314
ENSMUSG00000044994	19	12086746	12092013	-1	39.27	Olfr1426
ENSMUSG00000060601	7	44549616	44553951	-1	58.88	Nr1h2
ENSMUSG00000101323	Y	62537238	62537931	-1	45.82	Gm21877
ENSMUSG00000105987	5	23698296	23712667	-1	50.05	AI506816
ENSMUSG00000101665	Y	53712724	53713418	-1	45.61	Gm21920
ENSMUSG00000101367	Y	53712724	53713047	1	41.98	Gm29484
ENSMUSG00000106396	5	107392731	107403480	-1	43.14	Gm42902
ENSMUSG00000091534	12	79163408	79163835	-1	48.36	Gm17195
ENSMUSG00000001510	11	95120119	95125296	1	55.54	Dlx3
ENSMUSG00000091507	12	79168486	79168833	1	45.69	Gm17194
ENSMUSG00000096405	14	36094917	36100114	1	43.54	4930474N05Rik
ENSMUSG00000101642	Y	30155238	30157598	1	40.87	Gm29315
ENSMUSG00000021124	12	79156017	79172667	-1	42.35	Vti1b
ENSMUSG00000092222	17	34249057	34250264	1	40.48	Gm20506
ENSMUSG00000113625	12	109894452	109895093	-1	50.78	Gm3379
ENSMUSG00000116779	17	3101143	3101736	-1	55.72	
ENSMUSG00000084373	11	53645744	53646376	1	52.76	Rps2-ps4
ENSMUSG00000100778	Y	53729612	53731157	1	38.94	Gm28908
ENSMUSG00000097981	7	67782777	67783781	-1	49.95	Gm7583
ENSMUSG00000020687	11	104502745	104550620	-1	40.08	Cdc27
ENSMUSG00000112940	12	109911785	109913518	1	50.98	4930511J24Rik
ENSMUSG00000104167	9	97289186	97291065	1	40.80	A030012G06Rik
ENSMUSG00000078212	X	4882412	4883086	1	45.63	Gm3757
ENSMUSG00000101719	Y	30195252	30195779	1	50.76	Gm28216
ENSMUSG00000110250	12	3171874	3201049	1	40.33	Gm9077
ENSMUSG00000090038	14	56607261	56620513	-1	43.50	Gm16573
ENSMUSG00000100896	Y	30310104	30311114	-1	35.71	Gm28217
ENSMUSG00000111808	9	22295946	22296687	-1	39.76	Gm18225
ENSMUSG00000100835	Y	53744649	53745263	-1	45.04	Gm28907
ENSMUSG00000073421	17	34263209	34269418	1	52.25	H2-Ab1
ENSMUSG00000111292	9	22294222	22295572	-1	41.30	Gm48627
ENSMUSG00000113063	12	109990882	110023873	-1	44.16	Gm34667
ENSMUSG00000097697	7	67784538	67804139	-1	47.04	4833412C05Rik
ENSMUSG00000083085	7	33937261	33938237	1	41.25	Gm12765
ENSMUSG00000055994	8	88647315	88688474	1	48.64	Nod2
ENSMUSG00000110765	9	103082741	103085537	-1	51.48	Gm47468
ENSMUSG00000086497	X	4905423	4905713	1	35.40	Gm15259
ENSMUSG00000032548	9	102988712	103096002	1	48.22	Slco2a1
ENSMUSG00000113217	12	110062270	110062498	1	43.67	Gm47187
ENSMUSG00000116995	17	3103175	3114795	-1	42.54	
ENSMUSG00000113868	12	110046686	110086423	-1	46.37	Gm34719
ENSMUSG00000062200	3	64690660	64844765	-1	39.66	Vmn2r7
ENSMUSG00000113042	12	110083820	110085180	1	48.27	Gm47188
ENSMUSG00000026893	2	62664285	62694109	1	39.16	Gca
ENSMUSG00000099347	Y	30360777	30361472	-1	45.11	Gm28093
ENSMUSG00000021893	14	31336638	31371986	1	39.25	Capn7
ENSMUSG00000113675	13	13119254	13121263	-1	45.02	Gm18259
ENSMUSG00000054509	14	56575619	56659794	1	44.37	Parp4
ENSMUSG00000114728	14	20856014	20856421	-1	49.75	Gm6128
ENSMUSG00000101379	Y	30396170	30396697	1	50.95	Gm28092
ENSMUSG00000101446	Y	53781510	53782205	-1	44.97	Gm21749
ENSMUSG00000082544	11	108423273	108423758	1	52.67	Gm11667
ENSMUSG00000112358	12	46701075	46704216	-1	35.77	Gm33869
ENSMUSG00000021047	12	46694517	46818929	-1	36.35	Nova1
ENSMUSG00000063305	7	18674107	18686185	-1	48.61	Psg20
ENSMUSG00000113908	13	13168730	13171177	-1	36.48	Gm10811
ENSMUSG00000109464	7	67819250	67829618	1	45.88	Gm34350
ENSMUSG00000093414	3	64770286	64770518	-1	41.20	Gm20698
ENSMUSG00000007739	11	22990519	23003780	1	39.81	Cct4
ENSMUSG00000109193	7	67832291	67849632	-1	45.46	Gm39027
ENSMUSG00000087093	1	157497931	157511721	-1	43.32	Gm15486
ENSMUSG00000100565	Y	30423567	30425930	1	40.82	Gm28091
ENSMUSG00000113331	12	110151654	110158077	-1	47.17	3110009F21Rik
ENSMUSG00000093434	3	64632574	64662261	-1	40.01	Vmn2r-ps11
ENSMUSG00000095436	X	4906982	4907254	-1	41.76	Gm15254
ENSMUSG00000086884	4	135118221	135120447	-1	56.44	Gm16225
ENSMUSG00000112461	10	116284549	116286343	1	42.67	Gm47625
ENSMUSG00000102269	1	4522905	4526737	1	52.80	Gm7357
ENSMUSG00000093474	3	64744749	64745645	-1	39.02	Vmn2r-ps12
ENSMUSG00000020154	10	116275523	116389535	1	43.36	Ptprb
ENSMUSG00000031214	X	98554277	98891025	-1	39.46	Ophn1
ENSMUSG00000109152	7	67886195	67886585	-1	45.27	Gm44666
ENSMUSG00000100045	Y	53843949	53870150	1	35.50	Gm20929
ENSMUSG00000024360	18	34902785	34932007	-1	42.71	Etf1
ENSMUSG00000097538	3	64632863	64844743	-1	39.55	Gm26939
ENSMUSG00000111929	12	79150936	79151932	-1	39.72	Gm48780
ENSMUSG00000101489	Y	30499157	30523557	1	35.59	Gm28090
ENSMUSG00000052253	15	25984366	25998481	1	41.80	Zfp622
ENSMUSG00000095384	14	43342383	43347811	-1	41.61	1700001F09Rik
ENSMUSG00000104136	1	54518610	54520270	-1	41.54	Gm36955
ENSMUSG00000073678	1	54472994	54557684	-1	38.95	Pgap1
ENSMUSG00000039835	10	18318985	18533892	1	44.07	Nhsl1
ENSMUSG00000028233	4	3574875	3616619	1	39.27	Tgs1
ENSMUSG00000112420	12	46725773	46728001	-1	37.69	Gm48543
ENSMUSG00000059742	2	62693414	63184287	-1	36.58	Kcnh7
ENSMUSG00000112483	12	46806952	46811508	-1	32.54	Gm48542
ENSMUSG00000048271	5	28317121	28419239	1	41.04	Rbm33
ENSMUSG00000075592	14	55854010	55874736	1	50.88	Nynrin
ENSMUSG00000084984	7	113530489	113564987	-1	36.29	Far1os
ENSMUSG00000035621	10	80148272	80158368	1	59.78	Midn
ENSMUSG00000108337	7	73685494	73686601	-1	53.61	Gm4971
ENSMUSG00000104381	Y	40188895	40191869	1	39.29	Gm37032
ENSMUSG00000108485	7	73688235	73689167	-1	38.05	Gm18805
ENSMUSG00000039196	4	63344560	63348163	1	50.08	Orm1
ENSMUSG00000108687	7	73706175	73706540	-1	47.54	Gm45007
ENSMUSG00000050190	8	43624951	43627276	-1	41.23	Gm5346
ENSMUSG00000085246	11	88356291	88363947	1	49.38	Gm15893
ENSMUSG00000101326	Y	62564851	62569079	-1	40.77	Gm28835
ENSMUSG00000093895	Y	40290790	40316903	-1	35.63	Gm21865
ENSMUSG00000069769	11	88339382	88718513	-1	47.97	Msi2
ENSMUSG00000049339	1	75142778	75147913	1	52.76	Retreg2
ENSMUSG00000038352	11	97989578	97996181	-1	51.17	Arl5c
ENSMUSG00000113733	12	110177956	110188061	-1	47.04	Gm34785
ENSMUSG00000101466	Y	62603763	62604456	-1	45.10	Gm29548
ENSMUSG00000040021	10	7681214	7716460	1	42.27	Lats1
ENSMUSG00000106739	5	72809968	72812074	-1	43.38	Gm43499
ENSMUSG00000101614	Y	62648296	62651535	1	39.94	Gm29547
ENSMUSG00000094860	X	4952135	4954077	1	38.81	Btbd35f27
ENSMUSG00000100307	Y	62717008	62741658	1	35.25	Gm29546
ENSMUSG00000008129	8	84148025	84172590	1	47.28	4930432K21Rik
ENSMUSG00000000838	X	68678541	68717963	1	35.06	Fmr1
ENSMUSG00000101882	Y	62802222	62802915	-1	43.66	Gm29545
ENSMUSG00000039236	7	78913424	78920396	1	53.66	Isg20
ENSMUSG00000002329	14	55657879	55660508	-1	48.52	Mdp1
ENSMUSG00000112279	12	3216912	3228147	1	43.00	Gm18774
ENSMUSG00000094358	X	5144852	5145719	1	47.24	Gm14370
ENSMUSG00000030653	7	101410886	101512819	1	52.14	Gm45837
ENSMUSG00000030846	7	128439777	128461717	-1	38.07	Tial1
ENSMUSG00000091010	14	3602203	3602755	-1	45.39	Gm17107
ENSMUSG00000081817	2	62668783	62670370	-1	41.31	Gm13590
ENSMUSG00000059252	9	37696515	37697030	1	44.77	Tpt1-ps5
ENSMUSG00000035681	10	112271121	112467024	1	38.45	Kcnc2
ENSMUSG00000103003	1	4534837	4535286	-1	44.89	Gm38076
ENSMUSG00000026249	1	79794197	79861180	-1	44.61	Serpine2
ENSMUSG00000061165	9	37708964	37716250	-1	37.15	Olfr160
ENSMUSG00000080792	X	5148676	5150172	1	39.95	Gm14367
ENSMUSG00000085029	2	62809187	62810698	1	37.70	Gm13569
ENSMUSG00000086986	11	30822309	30822670	-1	38.95	Gm12103
ENSMUSG00000112719	12	3228579	3229891	-1	46.38	Gm45925
ENSMUSG00000104241	3	51402844	51403162	-1	55.17	Gm9442
ENSMUSG00000116970	17	27398147	27399221	1	53.86	
ENSMUSG00000115479	14	88264392	88337544	-1	35.74	Gm33203
ENSMUSG00000109723	8	43673721	43676047	-1	40.61	Gm5347
ENSMUSG00000095248	7	105116836	105125523	1	38.03	Olfr681
ENSMUSG00000115600	14	55654845	55658208	-1	45.07	Gm49299
ENSMUSG00000079058	8	43650309	43710049	-1	38.54	Adam34
ENSMUSG00000111313	10	18336121	18337241	-1	45.32	Gm18942
ENSMUSG00000033361	X	71962624	71972722	1	47.80	Prrg3
ENSMUSG00000101226	1	23345956	23346599	-1	42.86	Gm20954
ENSMUSG00000097617	9	44122186	44134485	-1	49.66	Gm10687
ENSMUSG00000022797	16	32608920	32632794	1	39.29	Tfrc
ENSMUSG00000084986	4	135143421	135144285	-1	52.83	Gm16224
ENSMUSG00000100635	1	43742915	43743526	1	38.56	Gm29157
ENSMUSG00000026051	1	43730602	43742578	1	43.81	1500015O10Rik
ENSMUSG00000070691	4	135120652	135177990	1	53.75	Runx3
ENSMUSG00000032135	9	44134469	44142727	1	54.39	Mcam
ENSMUSG00000110155	8	43699258	43701498	-1	40.65	Gm35629
ENSMUSG00000110168	8	43703479	43754163	1	38.51	Gm45488
ENSMUSG00000018589	X	165129017	165327393	-1	36.56	Glra2
ENSMUSG00000110224	8	43722269	43724064	-1	48.50	Gm6011
ENSMUSG00000116858	17	3198110	3311120	1	44.78	
ENSMUSG00000021892	14	31359880	31436078	-1	47.26	Sh3bp5
ENSMUSG00000110347	8	43749052	43750400	-1	40.18	Gm45657
ENSMUSG00000043061	12	30584426	30591215	1	45.43	Tmem18
ENSMUSG00000100764	1	43741961	43743895	-1	40.52	Gm29155
ENSMUSG00000110036	8	43729479	43729949	-1	43.74	Gm6303
ENSMUSG00000116874	17	3270681	3283270	-1	47.05	
ENSMUSG00000110526	9	37729977	37731104	-1	48.40	Olfr151
ENSMUSG00000113640	10	80602880	80607654	1	57.30	Adat3
ENSMUSG00000098234	1	9941959	9944118	-1	44.40	Snhg6
ENSMUSG00000057101	7	24081924	24107713	1	45.58	Zfp180
ENSMUSG00000026649	1	171113918	171126967	1	46.09	Cfap126
ENSMUSG00000116941	17	3130158	3130512	-1	51.27	
ENSMUSG00000046201	17	3114972	3198859	1	40.03	Scaf8
ENSMUSG00000108602	7	43987793	43992085	1	49.03	Klk1b10-ps
ENSMUSG00000100038	Y	30542567	30543013	1	45.64	Gm29580
ENSMUSG00000113949	10	80602872	80615783	1	55.31	Scamp4
ENSMUSG00000108730	7	43980734	43994130	-1	47.32	Gm45135
ENSMUSG00000059003	16	9567898	9995560	-1	43.50	Grin2a
ENSMUSG00000020638	12	26469204	26479837	1	46.55	Cmpk2
ENSMUSG00000021010	12	53248677	54072175	1	41.21	Npas3
ENSMUSG00000020185	10	110745439	110787384	1	46.41	E2f7
ENSMUSG00000003541	17	35821684	35822923	1	54.52	Ier3
ENSMUSG00000082857	11	65169844	65170433	-1	45.93	Gm12293
ENSMUSG00000107005	5	134929848	134931469	-1	43.53	9030607J07Rik
ENSMUSG00000091890	7	73737929	73741024	-1	51.10	A830073O21Rik
ENSMUSG00000108412	7	73754589	73754745	1	33.12	Gm45005
ENSMUSG00000037152	3	51404677	51408988	-1	43.92	Ndufc1
ENSMUSG00000044485	7	43995877	43999875	1	50.69	Klk1b11
ENSMUSG00000078670	7	73740302	73776919	1	47.03	Fam174b
ENSMUSG00000066586	7	33943002	33945040	-1	46.59	Scgb2b26
ENSMUSG00000075273	2	75935849	75938585	-1	46.07	Ttc30b
ENSMUSG00000087159	X	169320622	169368190	1	38.20	Gm15246
ENSMUSG00000105575	5	127108069	127108856	1	46.57	Gm43475
ENSMUSG00000103156	1	180763497	180768656	-1	53.51	Gm38293
ENSMUSG00000041126	11	6427229	6444443	-1	42.74	H2afv
ENSMUSG00000028457	4	43267159	43373833	1	44.03	Atp8b5
ENSMUSG00000114494	14	36231441	36232041	-1	34.61	Gm48663
ENSMUSG00000055360	13	13182715	13191923	1	35.62	Prl2c5
ENSMUSG00000075272	2	75975740	75978170	-1	47.80	Ttc30a2
ENSMUSG00000081137	X	169368189	169370003	1	45.34	BC022960
ENSMUSG00000083942	7	33958805	33959986	1	47.29	Scgb1b26-ps
ENSMUSG00000029291	5	88565040	88651392	1	43.68	Rufy3
ENSMUSG00000094992	9	109645122	109664652	-1	43.17	Fbxw25
ENSMUSG00000101159	7	33986311	33986377	1	32.84	Gm28184
ENSMUSG00000109571	7	18689760	18691152	-1	46.23	Gm44655
ENSMUSG00000113193	12	110225515	110236362	-1	52.30	Gm40576
ENSMUSG00000114779	14	36619278	36620087	1	41.48	Gm17940
ENSMUSG00000108882	7	18713590	18713767	1	46.07	Gm44563
ENSMUSG00000086763	6	32511073	32515576	1	45.83	Plxna4os1
ENSMUSG00000100043	Y	40367506	40372751	1	39.76	Gm29433
ENSMUSG00000101018	Y	53935335	53936030	-1	43.68	Gm28910
ENSMUSG00000053654	11	100262882	100269871	-1	54.28	Krt42
ENSMUSG00000099786	Y	40367717	40370075	-1	40.40	Gm29215
ENSMUSG00000067525	19	12098006	12103334	-1	39.28	Olfr1427
ENSMUSG00000113605	12	110236492	110238634	1	52.50	4930425K24Rik
ENSMUSG00000081962	7	33996999	33997585	1	42.42	Gm12773
ENSMUSG00000112509	10	69372689	69373312	-1	50.96	Gm47211
ENSMUSG00000116596	17	3124555	3124801	-1	40.49	
ENSMUSG00000101178	Y	53963830	53964144	-1	40.63	Gm28909
ENSMUSG00000087525	4	142180602	142184139	1	54.01	Gm13062
ENSMUSG00000115335	15	26054365	26062438	-1	42.37	Gm41279
ENSMUSG00000046101	1	9908638	9942085	1	39.85	Mcmdc2
ENSMUSG00000057897	11	5969644	6066362	-1	52.29	Camk2b
ENSMUSG00000086675	6	32451170	32454750	1	45.15	Plxna4os2
ENSMUSG00000081768	7	33998012	34006461	1	40.79	Gm12755
ENSMUSG00000099407	12	54062048	54079392	-1	45.33	1700060O08Rik
ENSMUSG00000040606	4	142102390	142239401	-1	51.16	Kazn
ENSMUSG00000095368	14	3634512	3642943	1	42.11	Gm3012
ENSMUSG00000086720	6	32303829	32316614	1	43.27	Plxna4os3
ENSMUSG00000113059	12	26485905	26486791	-1	54.57	Gm46344
ENSMUSG00000082134	X	165680204	165680582	1	51.72	Gm15236
ENSMUSG00000113179	12	53303352	53309846	-1	42.42	1700030L22Rik
ENSMUSG00000029765	6	32144268	32588192	-1	45.64	Plxna4
ENSMUSG00000102800	1	129833148	129836988	1	35.25	Gm37479
ENSMUSG00000081012	X	166024033	166024420	-1	42.01	Gm15224
ENSMUSG00000101566	Y	53965560	53968902	-1	45.08	Gm28276
ENSMUSG00000089648	1	129796608	129797858	-1	44.60	Gm15790
ENSMUSG00000066584	7	34011921	34013942	-1	47.38	Scgb2b27
ENSMUSG00000104328	1	4583129	4586252	-1	37.39	Gm37323
ENSMUSG00000113524	12	26597259	26645747	1	42.87	Gm47847
ENSMUSG00000103637	1	129372304	129373262	1	38.27	Gm38330
ENSMUSG00000113628	12	26572108	26602309	-1	40.05	1700020D12Rik
ENSMUSG00000094401	X	5193483	5194069	1	48.38	Gm14365
ENSMUSG00000087587	X	169447830	169475913	1	36.37	Gm15245
ENSMUSG00000115789	14	75264217	75264967	1	44.87	Gm18147
ENSMUSG00000095725	Y	40390922	40391449	-1	50.95	Gm21801
ENSMUSG00000103803	1	129860815	129863045	1	34.42	Gm37064
ENSMUSG00000084411	11	88432986	88433514	-1	48.39	Gm11510
ENSMUSG00000110874	10	45807562	45852283	1	40.12	D030045P18Rik
ENSMUSG00000021999	14	75242287	75283555	1	42.30	Cpb2
ENSMUSG00000083466	X	166062237	166070237	1	40.89	Gm15225
ENSMUSG00000042581	1	129273302	130219278	1	39.02	Thsd7b
ENSMUSG00000106876	5	39337360	39337816	-1	49.23	Gm43456
ENSMUSG00000102735	1	4610471	4611406	1	45.62	Gm7369
ENSMUSG00000037572	14	47240944	47276857	-1	40.54	Wdhd1
ENSMUSG00000083530	4	73864397	73865092	1	47.56	Gm13867
ENSMUSG00000100900	Y	40431918	40434282	-1	40.55	Gm28850
ENSMUSG00000040380	14	55878913	55884392	-1	49.67	Cbln3
ENSMUSG00000107030	5	39401347	39402245	-1	48.05	Gm5291
ENSMUSG00000044903	7	18718090	18727248	1	48.14	Psg22
ENSMUSG00000075271	2	75978247	75981967	-1	42.54	Ttc30a1
ENSMUSG00000098194	9	45835929	45836935	-1	52.83	Gm7286
ENSMUSG00000086186	2	110031250	110050479	-1	38.41	Ccdc34os
ENSMUSG00000031620	8	75448694	75984503	1	38.36	Iqcm
ENSMUSG00000025961	1	63754907	63769267	-1	42.39	4933402D24Rik
ENSMUSG00000063350	9	37745106	37748594	1	40.73	Olfr874
ENSMUSG00000095433	Y	40456743	40457270	-1	50.95	Gm21914
ENSMUSG00000056155	8	84173731	84185217	-1	52.06	Nanos3
ENSMUSG00000035696	4	44126210	44233789	-1	42.20	Rnf38
ENSMUSG00000027160	2	110017817	110173360	1	39.73	Ccdc34
ENSMUSG00000106851	5	39442001	39443574	-1	37.74	4930421C12Rik
ENSMUSG00000106743	5	33990510	33993062	-1	40.27	Gm42847
ENSMUSG00000057469	12	16810963	16839742	1	46.22	E2f6
ENSMUSG00000104158	1	175920329	175922225	1	50.76	Gm38100
ENSMUSG00000101190	Y	54001257	54004153	1	39.83	Gm28274
ENSMUSG00000039759	4	151982639	151988997	-1	54.76	Thap3
ENSMUSG00000028753	4	138565360	138635884	-1	49.47	Vwa5b1
ENSMUSG00000101130	1	54566703	54567281	1	47.67	Gm19637
ENSMUSG00000066583	7	34021483	34022881	1	49.11	Scgb1b27
ENSMUSG00000020109	10	59879556	59899302	1	52.15	Dnajb12
ENSMUSG00000103540	1	175955455	175957398	-1	39.92	Gm37668
ENSMUSG00000035370	10	80606021	80615784	1	55.59	Gm49322
ENSMUSG00000085263	4	124890888	124894782	-1	52.27	1700125G02Rik
ENSMUSG00000048142	5	33995984	34005916	1	58.51	Nat8l
ENSMUSG00000115629	15	57487947	57488871	-1	33.41	Gm49235
ENSMUSG00000025899	9	3335140	3391154	1	37.86	Alkbh8
ENSMUSG00000028876	4	124880899	124917800	1	51.33	Epha10
ENSMUSG00000109826	8	43804844	43805423	1	36.55	Gm45658
ENSMUSG00000019975	10	91082940	91102607	1	41.97	Ikbip
ENSMUSG00000067524	19	12107716	12115897	-1	39.70	Olfr1428
ENSMUSG00000002233	3	104788375	104794459	1	55.27	Rhoc
ENSMUSG00000109993	8	43908656	43914604	-1	39.99	Gm45659
ENSMUSG00000026730	2	12924041	13003455	1	40.08	Pter
ENSMUSG00000109856	8	44048121	44048369	-1	38.96	Gm19855
ENSMUSG00000102378	8	44227718	44228545	-1	41.30	Gm37972
ENSMUSG00000032127	9	44347749	44361670	-1	47.87	Vps11
ENSMUSG00000075707	12	110279068	110281097	1	57.83	Dio3
ENSMUSG00000110841	10	45875291	45876086	1	55.03	Gpx4-ps2
ENSMUSG00000110409	8	44934712	44935159	-1	58.48	Gm9908
ENSMUSG00000099585	Y	62839197	62839509	-1	40.89	Gm29544
ENSMUSG00000025527	X	112384303	112406779	-1	40.78	Satl1
ENSMUSG00000113581	12	110275385	110278172	-1	57.68	Dio3os
ENSMUSG00000109968	7	113592862	113593021	1	62.50	Gm45612
ENSMUSG00000101801	10	110784585	110896550	-1	42.47	1700020G17Rik
ENSMUSG00000031575	8	25815996	25847694	-1	45.49	Ash2l
ENSMUSG00000002791	17	32076083	32107350	-1	50.58	Pdxk-ps
ENSMUSG00000028246	4	21931329	21996839	1	43.47	Faxc
ENSMUSG00000044066	11	20227037	20249429	-1	46.69	Cep68
ENSMUSG00000073862	7	113700890	113708442	-1	42.13	Gm5600
ENSMUSG00000063568	6	52768797	53068631	-1	44.13	Jazf1
ENSMUSG00000098100	16	10044965	10045730	1	51.31	Gm7572
ENSMUSG00000114350	14	19838925	19844677	1	46.34	D14Ertd670e
ENSMUSG00000083520	X	112459033	112462903	-1	45.26	Gm6418
ENSMUSG00000115666	14	121385505	121385956	-1	49.34	Gm49031
ENSMUSG00000100508	Y	40494488	40496767	-1	41.01	Gm28617
ENSMUSG00000083818	X	112464861	112466625	1	41.59	Gm14908
ENSMUSG00000115123	14	121451730	121455762	-1	48.77	Gm33299
ENSMUSG00000081158	2	52361630	52362495	-1	46.07	Gm13521
ENSMUSG00000108670	7	78922254	78923886	-1	49.85	Gm44815
ENSMUSG00000086447	2	52367063	52390307	1	43.92	Gm13522
ENSMUSG00000096942	12	110898114	110898551	1	55.48	Rps19-ps6
ENSMUSG00000047807	15	57736563	57738666	-1	46.15	9330154K18Rik
ENSMUSG00000021275	12	110889264	110972394	1	45.62	Tecpr2
ENSMUSG00000022269	15	26309048	26409576	1	41.08	March11
ENSMUSG00000074067	7	73781429	73816503	-1	45.67	Gm10619
ENSMUSG00000024889	19	4622591	4625641	-1	56.21	Rce1
ENSMUSG00000028295	4	34768664	34778423	-1	40.46	Smim8
ENSMUSG00000071757	15	57694665	57839832	1	47.54	Zhx2
ENSMUSG00000025528	X	112495274	112558343	1	36.60	2010106E10Rik
ENSMUSG00000083100	5	64320256	64320754	1	49.50	Gm6044
ENSMUSG00000104947	5	64233930	64236242	1	46.78	Gm43721
ENSMUSG00000080759	6	53045884	53046423	1	48.15	Gm15573
ENSMUSG00000111182	10	46228639	46325294	1	38.05	
ENSMUSG00000081872	6	52843109	52843701	-1	50.08	Gm15572
ENSMUSG00000029174	5	64156305	64351486	1	45.35	Tbc1d1
ENSMUSG00000085055	18	66291274	66319607	1	45.07	Gm15958
ENSMUSG00000029394	5	124345417	124363082	-1	50.40	Cdk2ap1
ENSMUSG00000108548	7	73797603	73798292	-1	46.52	Gm45006
ENSMUSG00000100771	Y	40566172	40566738	1	43.92	Gm28618
ENSMUSG00000046318	18	66045302	66302739	-1	43.46	Ccbe1
ENSMUSG00000058628	9	37771857	37774459	1	39.22	Olfr875
ENSMUSG00000090002	15	57708114	57708927	-1	47.42	Gm16006
ENSMUSG00000026950	2	52136647	52378474	-1	41.64	Neb
ENSMUSG00000046961	16	37916496	38007530	1	44.87	Gpr156
ENSMUSG00000108965	7	99725208	99725378	-1	55.56	Gm44551
ENSMUSG00000006736	10	127067280	127070264	-1	49.31	Tspan31
ENSMUSG00000101755	7	113729654	113752166	1	44.60	Gm29507
ENSMUSG00000101090	Y	40638693	40641058	-1	40.49	Gm28619
ENSMUSG00000032451	9	97349562	97369958	-1	45.09	Trim42
ENSMUSG00000103054	8	75595779	75596185	-1	47.42	Gm38270
ENSMUSG00000101431	8	75711600	75713196	-1	57.86	Gm7901
ENSMUSG00000044447	14	67752135	67933442	-1	45.17	Dock5
ENSMUSG00000098170	16	10045759	10045965	-1	50.24	Gm3890
ENSMUSG00000073998	7	99730273	99736399	1	47.79	Olfr520
ENSMUSG00000094122	1	129801387	129801764	-1	49.74	Rpl31-ps9
ENSMUSG00000041530	4	126435012	126468583	-1	45.81	Ago1
ENSMUSG00000081183	3	99463592	99463825	-1	46.58	Gm12449
ENSMUSG00000053593	X	71972986	71989046	1	43.35	Fate1
ENSMUSG00000104459	2	13004365	13007600	1	34.80	Gm37824
ENSMUSG00000108448	7	73816546	73838898	1	45.86	Gm21269
ENSMUSG00000102900	2	13009886	13012486	1	58.29	Gm37811
ENSMUSG00000105869	3	136331486	136332990	1	43.26	Gm9408
ENSMUSG00000049630	2	13003457	13011806	-1	43.35	C1ql3
ENSMUSG00000080832	3	99500550	99501379	1	49.88	M6pr-ps
ENSMUSG00000100623	1	130195980	130196388	1	52.57	Gm29428
ENSMUSG00000087167	9	97349616	97369945	1	45.12	Gm15891
ENSMUSG00000100644	Y	40682046	40682741	1	45.83	Gm20793
ENSMUSG00000083938	3	99544408	99545062	-1	40.76	Gm12448
ENSMUSG00000103742	1	129283107	129285593	1	40.17	Gm38240
ENSMUSG00000037242	4	135213969	135272814	-1	45.48	Clic4
ENSMUSG00000103281	1	129943162	129946033	1	38.75	Gm37278
ENSMUSG00000099379	Y	40733742	40736976	-1	40.28	Gm28993
ENSMUSG00000033106	8	106200717	106210935	-1	43.26	Slc7a6os
ENSMUSG00000090788	14	43386214	43394024	1	40.17	Gm9597
ENSMUSG00000113218	12	26814371	26834873	-1	41.18	4933409F18Rik
ENSMUSG00000006728	10	127063534	127067920	1	51.65	Cdk4
ENSMUSG00000104130	1	129710543	129713229	1	37.48	Gm36951
ENSMUSG00000024359	18	34937414	34954357	-1	40.89	Hspa9
ENSMUSG00000100070	Y	40762505	40764868	-1	40.52	Gm28994
ENSMUSG00000100415	Y	30613153	30616388	-1	40.27	Gm28089
ENSMUSG00000111754	10	46670144	46670729	1	48.63	Gm19994
ENSMUSG00000111499	10	46856353	46856502	-1	45.33	Gm47562
ENSMUSG00000115723	14	30770681	30778004	-1	40.70	1700087M22Rik
ENSMUSG00000067522	19	12117996	12123203	-1	43.13	Olfr76
ENSMUSG00000105395	3	95461191	95461542	1	43.18	Gm42672
ENSMUSG00000110843	10	47016652	47102832	-1	37.17	Gm35552
ENSMUSG00000025529	X	112600526	112635070	1	36.95	Zfp711
ENSMUSG00000078184	1	175977777	175979114	-1	39.84	Rbm8a2
ENSMUSG00000111419	10	47024247	47037346	1	35.87	Gm47568
ENSMUSG00000106363	3	136346204	136346362	1	45.28	Gm43402
ENSMUSG00000000605	7	7282309	7300851	-1	47.23	Clcn4
ENSMUSG00000111057	10	47080534	47081243	1	39.30	Gm3442
ENSMUSG00000062564	X	74150944	74167838	-1	40.91	Tex28
ENSMUSG00000103277	1	176179201	176181635	1	37.58	Gm37916
ENSMUSG00000108028	6	53170550	53171735	-1	48.40	Gm8143
ENSMUSG00000099820	2	86073992	86077194	1	33.37	Olfr1036
ENSMUSG00000038708	9	118506267	118582519	1	44.31	Golga4
ENSMUSG00000095452	Y	40804914	40807356	1	40.81	Gm20795
